iter	Logloss
204	0.4433861671
205	0.4432106455
206	0.4428962055
207	0.442788635
208	0.4426212926
209	0.4424328352
210	0.4422849712
211	0.4421255493
212	0.4419498541
213	0.4416871593
214	0.4414074201
215	0.4412398115
216	0.4408768433
217	0.440552106
218	0.4402674701
219	0.4400237204
220	0.439769235
221	0.4395566034
222	0.4392796591
223	0.4390390418
224	0.4388012828
225	0.4386459093
226	0.4384055725
227	0.4382599974
228	0.4379646099
229	0.4376876045
230	0.4375442064
231	0.4371908732
232	0.4369446601
233	0.4367971406
234	0.4366699523
235	0.4364390455
236	0.4362105686
237	0.4359762264
238	0.4358533557
239	0.4356410656
240	0.4353347601
241	0.4351993998
242	0.434920291
243	0.4347717129
244	0.4346317573
245	0.4343712065
246	0.4342478979
247	0.4339269115
248	0.4337340208
249	0.4335405621
250	0.4333936382
251	0.433195528
252	0.4330278767
253	0.4328234993
254	0.4326451214
255	0.4324378794
256	0.4321974305
257	0.432016385
258	0.4317066568
259	0.4315680666
260	0.4313957852
261	0.4312643333
262	0.4311275954
263	0.431018315
264	0.4307948835
265	0.4305695135
266	0.4303774201
267	0.4301446939
268	0.4299441631
269	0.4296813349
270	0.4295064008
271	0.4292463265
272	0.4291095517
273	0.4288354485
274	0.4287125281
275	0.4284940183
276	0.4283483422
277	0.4281461878
278	0.4279626971
279	0.4278035703
280	0.427676237
281	0.4273534721
282	0.4271862092
283	0.4268904841
284	0.4266172905
285	0.4264146072
286	0.4262541937
287	0.4258942582
288	0.425660475
289	0.425497571
290	0.4252449439
291	0.4250596239
292	0.424869467
293	0.4247008378
294	0.4245527964
295	0.4243556596
296	0.424201608
297	0.4240332049
298	0.4239380109
299	0.4236990676
300	0.4234712156
301	0.4232589072
302	0.423132912
303	0.4229402828
304	0.4227685536
305	0.4226080634
306	0.4224091996
307	0.4221804209
308	0.4219063612
309	0.4217215467
310	0.4216303735
311	0.4214785253
312	0.4213335149
313	0.4211765057
314	0.4209678415
315	0.4207296053
316	0.4205579605
317	0.4204370948
318	0.4202431005
319	0.4200687199
320	0.4198958547
321	0.4197454236
322	0.4195519727
323	0.4193446481
324	0.4192519836
325	0.4190923442
326	0.4189524341
327	0.4187252589
328	0.4186195547
329	0.4185093887
330	0.4183337366
331	0.418180871
332	0.4179956671
333	0.4177847091
334	0.4176132122
335	0.4174942554
336	0.4173431446
337	0.4172199061
338	0.4171101011
339	0.4169885265
340	0.4168247503
341	0.4167388718
342	0.4166107022
343	0.4164200557
344	0.4162681658
345	0.4160731182
346	0.4159318355
347	0.4157855756
348	0.4155608026
349	0.4154493092
350	0.4153257809
351	0.4151470672
352	0.415042974
353	0.4149049128
354	0.4147367281
355	0.4146099531
356	0.414479039
357	0.4142444307
358	0.4140690136
359	0.4139489564
360	0.4138122838
361	0.4137328745
362	0.4135809436
363	0.4133228407
364	0.413228954
365	0.413107477
366	0.4129937621
367	0.4127525914
368	0.4125693162
369	0.4124363592
370	0.4123068872
371	0.4121795489
372	0.4120446041
373	0.4118936543
374	0.4117612988
375	0.4116385266
376	0.411529803
377	0.4113648454
378	0.411178547
379	0.4110751742
380	0.4108920718
381	0.4107305433
382	0.4106072707
383	0.410512916
384	0.410419658
385	0.4103046853
386	0.4101158836
387	0.4100100934
388	0.409917477
389	0.4098302931
390	0.4097009283
391	0.4095862696
392	0.4095089557
393	0.4093413096
394	0.4092725139
395	0.40915771
396	0.4090496205
397	0.4088613869
398	0.4086772299
399	0.4085530068
400	0.4084385673
401	0.4083691716
402	0.4082330437
403	0.4080700623
404	0.4079735385
405	0.4078248824
406	0.4076758627
407	0.4074746389
408	0.4073155428
409	0.4071096129
410	0.4070060691
411	0.4068418093
412	0.4066990833
413	0.4065792911
414	0.4063758082
415	0.4062944092
416	0.4061702539
417	0.4060448853
418	0.4059421911
419	0.4057183414
420	0.4056367159
421	0.4054935337
422	0.4053577997
423	0.4052659696
424	0.4051306342
425	0.4049145323
426	0.4047792217
427	0.4045994189
428	0.4044970232
429	0.404380771
430	0.4042781982
431	0.4041685616
432	0.4040184947
433	0.4039409816
434	0.4038758438
435	0.4037669618
436	0.4036988072
437	0.4035230058
438	0.4034346844
439	0.4032801928
440	0.4031921223
441	0.4030685706
442	0.4029142425
443	0.4028366379
444	0.4026689718
445	0.4025721841
446	0.4024511364
447	0.4023725845
448	0.4022828711
449	0.402173541
450	0.4020366911
451	0.4019015593
452	0.4016879225
453	0.4015094711
454	0.4013698566
455	0.4011486825
456	0.4009957434
457	0.4007947891
458	0.4005703093
459	0.4004674381
460	0.4003417975
461	0.4002618161
462	0.4001402889
463	0.4000132042
464	0.3998600305
465	0.3997112737
466	0.3995741866
467	0.3993802964
468	0.3992308993
469	0.3991165645
470	0.3990298512
471	0.3989382824
472	0.3988604668
473	0.3987328374
474	0.3986053728
475	0.3984997007
476	0.3983950721
477	0.3982890003
478	0.3981739697
479	0.3980465834
480	0.3979514395
481	0.3977986658
482	0.3976550349
483	0.397527817
484	0.3974226175
485	0.3972222513
486	0.3971324995
487	0.3969988788
488	0.3968620043
489	0.3967547691
490	0.3965851157
491	0.3965256226
492	0.3963656699
493	0.3962715902
494	0.396168999
495	0.3960466284
496	0.395937377
497	0.3957912971
498	0.3956651307
499	0.3955970124
500	0.3954315917
501	0.3953072575
502	0.3950957562
503	0.3949869211
504	0.3949073806
505	0.3948284391
506	0.3945953467
507	0.3945248004
508	0.3944140071
509	0.3942880589
510	0.3941255739
511	0.3940388832
512	0.3939538977
513	0.3938902531
514	0.3937393708
515	0.393628259
516	0.3935244654
517	0.3934404478
518	0.393352941
519	0.3932665321
520	0.3931169941
521	0.3930124239
522	0.3928636413
523	0.3927270823
524	0.3926132875
525	0.3925287345
526	0.3924070073
527	0.3922912639
528	0.3921694775
529	0.3920551864
530	0.3919550773
531	0.3918787373
532	0.3917799438
533	0.3915958548
534	0.391482421
535	0.391378603
536	0.3913063937
537	0.3911838051
538	0.3910739292
539	0.3909216891
540	0.3907995033
541	0.3906538351
542	0.3904981725
543	0.3904008577
544	0.3902516667
545	0.3901453137
546	0.3900588405
547	0.3899189783
548	0.3898479754
549	0.3897590886
550	0.3896539057
551	0.3895179261
552	0.3893781914
553	0.3892919447
554	0.3891898417
555	0.3890666282
556	0.3889484502
557	0.3888149619
558	0.3887247618
559	0.3885340404
560	0.3883914056
561	0.3882618003
562	0.3881821226
563	0.3880453865
564	0.3879785211
565	0.3878523246
566	0.3877577287
567	0.3876573838
568	0.3875501926
569	0.3874892079
570	0.3874135867
571	0.3873147983
572	0.3872164597
573	0.3871116214
574	0.3870206983
575	0.3868822865
576	0.3867719323
577	0.3866572877
578	0.3865630365
579	0.3865370108
580	0.3864613914
581	0.3863654061
582	0.3862881412
583	0.3862321482
584	0.3861105823
585	0.3859953189
586	0.3857942647
587	0.3856929715
588	0.385597968
589	0.3854879046
590	0.3853989561
591	0.3852972664
592	0.3851717142
593	0.3850836972
594	0.3849847644
595	0.3848908424
596	0.3848185901
597	0.384681505
598	0.3845700385
599	0.3844773237
600	0.3844004009
601	0.3843103033
602	0.3842194263
603	0.3841135939
604	0.3840319548
605	0.3839448694
606	0.3838252479
607	0.3837162829
608	0.3836153449
609	0.3834714705
610	0.3833830181
611	0.3832440945
612	0.3831461059
613	0.3830256263
614	0.382968641
615	0.3828973992
616	0.3827271167
617	0.3826419489
618	0.3824917598
619	0.3823568762
620	0.3822427506
621	0.3821359378
622	0.3820280713
623	0.3818851508
624	0.3817627592
625	0.3816436244
626	0.3815672129
627	0.3814330952
628	0.381322583
629	0.3812435224
630	0.3811152961
631	0.3809898731
632	0.3808978379
633	0.380758908
634	0.3806979174
635	0.3805515047
636	0.3804381869
637	0.3803239062
638	0.3802242989
639	0.3801398316
640	0.3800764075
641	0.380018785
642	0.3799615837
643	0.379846049
644	0.3797385915
645	0.3796649769
646	0.379570831
647	0.3794404264
648	0.3793441055
649	0.3792573992
650	0.3791733198
651	0.3790552598
652	0.3789920368
653	0.3789097693
654	0.3788096702
655	0.3787364872
656	0.3787089684
657	0.3786224709
658	0.3785621895
659	0.378495701
660	0.378346681
661	0.3782746077
662	0.3781895027
663	0.3780952135
664	0.3779929258
665	0.377894356
666	0.3777529708
667	0.3776530961
668	0.3775356427
669	0.3774413926
670	0.3773610012
671	0.3772551566
672	0.3771843909
673	0.3770954597
674	0.3770111543
675	0.3768636713
676	0.3767366985
677	0.37663914
678	0.3765360997
679	0.3764028851
680	0.3762801174
681	0.3761505067
682	0.3760105788
683	0.3758968429
684	0.3757524141
685	0.3756330381
686	0.3755544283
687	0.3754808561
688	0.3754398478
689	0.3753675167
690	0.3752947271
691	0.3751900949
692	0.3750627606
693	0.3749233879
694	0.3748022214
695	0.3746532683
696	0.3745360581
697	0.3744631881
698	0.3743744067
699	0.3742575064
700	0.3741429271
701	0.3740800224
702	0.3740203141
703	0.3738689138
704	0.3737772161
705	0.3736533407
706	0.3735884025
707	0.3735027856
708	0.3733838965
709	0.3733193373
710	0.3732474101
711	0.3731637769
712	0.3730689813
713	0.3729665182
714	0.3728945445
715	0.3728085592
716	0.37275005
717	0.3726481126
718	0.3725925069
719	0.3725023648
720	0.3724312157
721	0.3723504013
722	0.3723106838
723	0.3722136181
724	0.372140264
725	0.3720807196
726	0.3719691142
727	0.3718511876
728	0.3717455636
729	0.371671459
730	0.371560448
731	0.3714206492
732	0.3713305926
733	0.3711906664
734	0.3711074592
735	0.3710415267
736	0.370981193
737	0.3708704051
738	0.3707916892
739	0.3707312531
740	0.370682697
741	0.3705967379
742	0.3705292456
743	0.3704592582
744	0.3704022754
745	0.3703334117
746	0.3702562137
747	0.3702065174
748	0.3701240096
749	0.3700227043
750	0.3699574992
751	0.3699158046
752	0.3697676622
753	0.3696709671
754	0.3695094609
755	0.3694351042
756	0.3693380616
757	0.3692135039
758	0.3691328915
759	0.3690171419
760	0.3688956726
761	0.3688066748
762	0.3687319789
763	0.3686833393
764	0.3686112929
765	0.3685485723
766	0.3684689861
767	0.3683333861
768	0.3682450366
769	0.3681455896
770	0.3680603178
771	0.3679759685
772	0.367890537
773	0.3678125983
774	0.3676836348
775	0.3676037941
776	0.3674884511
777	0.3674165705
778	0.3673293074
779	0.3672561792
780	0.3671022832
781	0.3670271104
782	0.3669626577
783	0.3668626941
784	0.3667898288
785	0.36671581
786	0.366552948
787	0.3664776683
788	0.3664029351
789	0.3663238978
790	0.3662718548
791	0.3662271738
792	0.3661241717
793	0.3659779725
794	0.3658811719
795	0.3658321851
796	0.3657591903
797	0.3656264813
798	0.365572177
799	0.3654855509
800	0.3654053059
801	0.3653007604
802	0.3651860349
803	0.3651240522
804	0.3650409933
805	0.3649113704
806	0.3648545362
807	0.364783791
808	0.364671312
809	0.3645871047
810	0.3645154451
811	0.3644504424
812	0.364361779
813	0.3643164785
814	0.3642564725
815	0.3641270107
816	0.3640335512
817	0.3639104344
818	0.3638519763
819	0.3636505455
820	0.3635384081
821	0.3634711705
822	0.3633996136
823	0.3633429399
824	0.3632746262
825	0.3631860182
826	0.3630830164
827	0.3629561765
828	0.3628511531
829	0.3627521153
830	0.3626569229
831	0.3625494448
832	0.3624725272
833	0.3623272228
834	0.3622548172
835	0.3621290154
836	0.3620492155
837	0.3619809918
838	0.3619183003
839	0.3618395919
840	0.3617852993
841	0.3617085776
842	0.3616328392
843	0.3615855482
844	0.3615177342
845	0.3613679736
846	0.3612975379
847	0.3612294846
848	0.3610518036
849	0.3609547226
850	0.3608910781
851	0.3607302741
852	0.3606486051
853	0.3605842738
854	0.3605151517
855	0.36037628
856	0.3602493021
857	0.3601759585
858	0.3601227908
859	0.3600575736
860	0.3599911532
861	0.3598568116
862	0.3597849889
863	0.3596608618
864	0.3595454426
865	0.3594319349
866	0.3593513581
867	0.3592548369
868	0.359156218
869	0.359042129
870	0.3589817148
871	0.3588893875
872	0.3588037966
873	0.3587273142
874	0.3586736689
875	0.3585716294
876	0.3584973572
877	0.3583885667
878	0.358325904
879	0.3582463004
880	0.3581535289
881	0.3580835087
882	0.3579923642
883	0.3579318924
884	0.3578685797
885	0.3577808372
886	0.3576120105
887	0.3575070552
888	0.3574321567
889	0.3573363146
890	0.3572740359
891	0.3572010592
892	0.3571310131
893	0.3570795435
894	0.3569874948
895	0.3569185635
896	0.3568561922
897	0.3567856352
898	0.3567201917
899	0.3566509954
900	0.3565970068
901	0.3565241686
902	0.3564286595
903	0.3563305244
904	0.3562460785
905	0.3560983233
906	0.3559755654
907	0.3559191163
908	0.35584055
909	0.3557629781
910	0.3556531767
911	0.3555740556
912	0.3554913021
913	0.3554316031
914	0.3553057249
915	0.3552195386
916	0.3551103666
917	0.3550357486
918	0.3549737068
919	0.3548939479
920	0.3547930229
921	0.354761603
922	0.3546724138
923	0.3545554466
924	0.354485702
925	0.3544041294
926	0.3543111947
927	0.3542481953
928	0.3541643623
929	0.3541086018
930	0.3540323631
931	0.3539318674
932	0.3538662304
933	0.3537418069
934	0.3537028302
935	0.3535996567
936	0.3535194145
937	0.3534445232
938	0.3533911641
939	0.353326128
940	0.3532516278
941	0.3531233586
942	0.3530757546
943	0.3529942618
944	0.3529289299
945	0.3528575502
946	0.3528107797
947	0.3527305555
948	0.3526495406
949	0.3525575206
950	0.3524427838
951	0.3523818615
952	0.3523004485
953	0.3522197046
954	0.3521504068
955	0.3520475221
956	0.351960175
957	0.3518583998
958	0.3517981082
959	0.3516971251
960	0.3516218181
961	0.3515446326
962	0.3514806177
963	0.35140609
964	0.351326207
965	0.3512263424
966	0.3511220966
967	0.3510624158
968	0.3509600447
969	0.350886583
970	0.3508095799
971	0.3507322269
972	0.3506477953
973	0.3505449485
974	0.3505002542
975	0.3504326798
976	0.3503475752
977	0.3502557181
978	0.3501913572
979	0.3501320338
980	0.3500799176
981	0.3499889695
982	0.3498687668
983	0.349827721
984	0.3497083967
985	0.3496091473
986	0.3495504939
987	0.3494941096
988	0.3494259189
989	0.3493519736
990	0.3492766766
991	0.3492142039
992	0.3491391829
993	0.3490397485
994	0.3489622998
995	0.3489036491
996	0.3488100046
997	0.3487386691
998	0.3486347666
999	0.3485742063
