iter	Passed	Remaining
538	15011	12839
539	15038	12810
540	15067	12783
541	15095	12755
542	15123	12728
543	15152	12701
544	15179	12672
545	15207	12644
546	15234	12616
547	15262	12589
548	15289	12560
549	15317	12532
550	15345	12504
551	15373	12477
552	15402	12450
553	15430	12422
554	15458	12394
555	15485	12366
556	15515	12340
557	15543	12312
558	15570	12283
559	15601	12258
560	15630	12231
561	15663	12207
562	15692	12180
563	15720	12152
564	15748	12125
565	15778	12098
566	15805	12070
567	15842	12049
568	15900	12044
569	15941	12025
570	15984	12009
571	16021	11988
572	16050	11960
573	16078	11932
574	16113	11909
575	16143	11883
576	16170	11854
577	16198	11826
578	16226	11798
579	16252	11769
580	16279	11740
581	16309	11713
582	16338	11686
583	16367	11658
584	16394	11630
585	16421	11601
586	16450	11574
587	16479	11546
588	16508	11519
589	16535	11490
590	16563	11462
591	16592	11435
592	16621	11408
593	16648	11379
594	16677	11351
595	16705	11323
596	16733	11295
597	16762	11268
598	16790	11240
599	16818	11212
600	16845	11183
601	16874	11155
602	16907	11131
603	16942	11107
604	16970	11079
605	16999	11052
606	17027	11024
607	17054	10995
608	17085	10969
609	17113	10941
610	17141	10913
611	17169	10884
612	17197	10856
613	17225	10829
614	17253	10800
615	17280	10772
616	17308	10743
617	17336	10716
618	17368	10690
619	17396	10662
620	17423	10633
621	17451	10605
622	17481	10578
623	17510	10551
624	17537	10522
625	17568	10496
626	17598	10469
627	17630	10443
628	17658	10415
629	17684	10386
630	17712	10358
631	17742	10330
632	17771	10303
633	17799	10275
634	17825	10246
635	17854	10218
636	17884	10191
637	17913	10163
638	17941	10135
639	17968	10107
640	17996	10078
641	18022	10050
642	18050	10021
643	18077	9992
644	18106	9965
645	18133	9936
646	18162	9909
647	18190	9881
648	18217	9852
649	18245	9824
650	18273	9796
651	18300	9767
652	18328	9739
653	18356	9711
654	18382	9682
655	18408	9653
656	18435	9624
657	18462	9596
658	18489	9567
659	18516	9538
660	18543	9510
661	18570	9481
662	18596	9452
663	18622	9423
664	18649	9394
665	18677	9366
666	18706	9339
667	18737	9312
668	18767	9285
669	18796	9258
670	18825	9230
671	18853	9202
672	18881	9174
673	18910	9146
674	18938	9118
675	18966	9090
676	18993	9062
677	19021	9033
678	19049	9005
679	19077	8977
680	19105	8949
681	19135	8922
682	19162	8893
683	19192	8866
684	19222	8839
685	19252	8812
686	19280	8784
687	19308	8756
688	19335	8727
689	19363	8699
690	19390	8671
691	19418	8642
692	19448	8615
693	19476	8587
694	19505	8560
695	19534	8532
696	19565	8505
697	19592	8477
698	19620	8448
699	19648	8420
700	19677	8393
701	19705	8365
702	19733	8337
703	19762	8309
704	19790	8281
705	19820	8253
706	19848	8225
707	19878	8198
708	19906	8170
709	19933	8141
710	19959	8112
711	19986	8084
712	20014	8056
713	20042	8028
714	20070	8000
715	20097	7971
716	20125	7943
717	20152	7914
718	20178	7886
719	20207	7858
720	20240	7832
721	20268	7804
722	20295	7775
723	20324	7747
724	20351	7719
725	20378	7691
726	20406	7663
727	20434	7635
728	20462	7606
729	20491	7578
730	20520	7551
731	20548	7523
732	20578	7495
733	20605	7467
734	20633	7439
735	20661	7411
736	20688	7382
737	20716	7354
738	20744	7326
739	20773	7298
740	20801	7270
741	20828	7242
742	20855	7213
743	20883	7185
744	20911	7157
745	20938	7129
746	20966	7101
747	20992	7072
748	21023	7045
749	21051	7017
750	21081	6989
751	21107	6960
752	21136	6933
753	21163	6904
754	21192	6877
755	21220	6848
756	21247	6820
757	21274	6792
758	21301	6763
759	21330	6735
760	21357	6707
761	21386	6679
762	21416	6652
763	21444	6624
764	21471	6595
765	21498	6567
766	21526	6539
767	21557	6512
768	21583	6483
769	21612	6455
770	21640	6427
771	21669	6399
772	21698	6371
773	21724	6343
774	21753	6315
775	21782	6287
776	21810	6259
777	21837	6231
778	21867	6203
779	21897	6176
780	21928	6148
781	21959	6121
782	21987	6093
783	22017	6065
784	22044	6037
785	22072	6009
786	22100	5981
787	22128	5953
788	22155	5924
789	22182	5896
790	22208	5868
791	22234	5839
792	22262	5811
793	22292	5783
794	22321	5755
795	22348	5727
796	22377	5699
797	22408	5672
798	22438	5644
799	22467	5616
800	22494	5588
801	22522	5560
802	22549	5532
803	22577	5503
804	22604	5475
805	22634	5448
806	22663	5420
807	22691	5392
808	22718	5363
809	22746	5335
810	22775	5307
811	22803	5279
812	22831	5251
813	22859	5223
814	22888	5195
815	22918	5167
816	22947	5140
817	22973	5111
818	23000	5083
819	23028	5054
820	23055	5026
821	23085	4998
822	23113	4970
823	23140	4942
824	23169	4914
825	23197	4886
826	23226	4858
827	23253	4830
828	23283	4802
829	23312	4774
830	23339	4746
831	23368	4718
832	23396	4690
833	23425	4662
834	23453	4634
835	23481	4606
836	23510	4578
837	23541	4550
838	23568	4522
839	23595	4494
840	23621	4465
841	23657	4439
842	23684	4410
843	23711	4382
844	23739	4354
845	23770	4326
846	23797	4298
847	23824	4270
848	23855	4242
849	23885	4215
850	23914	4187
851	23943	4159
852	23970	4130
853	23998	4102
854	24032	4075
855	24060	4047
856	24088	4019
857	24115	3991
858	24141	3962
859	24168	3934
860	24197	3906
861	24224	3878
862	24251	3849
863	24279	3821
864	24307	3793
865	24335	3765
866	24363	3737
867	24392	3709
868	24420	3681
869	24447	3653
870	24476	3625
871	24503	3596
872	24530	3568
873	24558	3540
874	24584	3512
875	24615	3484
876	24642	3456
877	24669	3427
878	24696	3399
879	24723	3371
880	24750	3343
881	24778	3315
882	24809	3287
883	24837	3259
884	24864	3231
885	24892	3202
886	24922	3174
887	24949	3146
888	24975	3118
889	25002	3090
890	25028	3061
891	25056	3033
892	25082	3005
893	25109	2977
894	25137	2949
895	25165	2920
896	25194	2892
897	25220	2864
898	25246	2836
899	25274	2808
900	25300	2780
901	25329	2751
902	25357	2723
903	25386	2695
904	25414	2667
905	25441	2639
906	25470	2611
907	25496	2583
908	25524	2555
909	25554	2527
910	25582	2499
911	25610	2471
912	25639	2443
913	25665	2414
914	25694	2386
915	25722	2358
916	25750	2330
917	25778	2302
918	25805	2274
919	25832	2246
920	25860	2218
921	25885	2189
922	25912	2161
923	25941	2133
924	25969	2105
925	25996	2077
926	26023	2049
927	26050	2021
928	26077	1993
929	26104	1964
930	26131	1936
931	26158	1908
932	26184	1880
933	26212	1852
934	26237	1823
935	26263	1795
936	26291	1767
937	26318	1739
938	26345	1711
939	26374	1683
940	26400	1655
941	26426	1627
942	26454	1599
943	26480	1570
944	26507	1542
945	26533	1514
946	26561	1486
947	26589	1458
948	26615	1430
949	26644	1402
950	26672	1374
951	26698	1346
952	26725	1318
953	26751	1289
954	26777	1261
955	26805	1233
956	26833	1205
957	26861	1177
958	26888	1149
959	26917	1121
960	26943	1093
961	26969	1065
962	26997	1037
963	27024	1009
964	27050	981
965	27078	953
966	27105	925
967	27134	896
968	27161	868
969	27187	840
970	27216	812
971	27245	784
972	27276	756
973	27303	728
974	27330	700
975	27359	672
976	27386	644
977	27414	616
978	27446	588
979	27468	560
980	27492	532
981	27518	504
982	27544	476
983	27567	448
984	27590	420
985	27614	392
986	27636	364
987	27659	335
988	27682	307
989	27704	279
990	27728	251
991	27751	223
992	27774	195
993	27798	167
994	27822	139
995	27845	111
996	27867	83
997	27891	55
998	27915	27
999	27937	0
